completed_quarters,completed_path,next_quarter,next_result,count,sample_size,sample_quality,data_status,probability,probability_pct,next_quarter_win_count,next_quarter_loss_count,next_quarter_tie_count,next_quarter_win_probability,next_quarter_loss_probability,next_quarter_tie_probability,next_quarter_win_pct,next_quarter_loss_pct,next_quarter_tie_pct,next_quarter_fair_decimal_tie_is_loss,next_quarter_fair_american_tie_is_loss,next_quarter_fair_decimal_tie_is_push,next_quarter_fair_american_tie_is_push,after_q1_win_count,after_q1_loss_count,after_q1_tie_count,after_q1_win_probability,after_q1_loss_probability,after_q1_tie_probability,after_q1_win_pct,after_q1_loss_pct,after_q1_tie_pct,after_q1_fair_decimal_tie_is_loss,after_q1_fair_american_tie_is_loss,after_q1_fair_decimal_tie_is_push,after_q1_fair_american_tie_is_push,final_win_count,final_loss_count,final_tie_count,final_win_probability,final_loss_probability,final_tie_probability,final_win_pct,final_loss_pct,final_tie_pct,final_fair_decimal_tie_is_loss,final_fair_american_tie_is_loss,final_fair_decimal_tie_is_push,final_fair_american_tie_is_push,after_q2_win_count,after_q2_loss_count,after_q2_tie_count,after_q2_win_probability,after_q2_loss_probability,after_q2_tie_probability,after_q2_win_pct,after_q2_loss_pct,after_q2_tie_pct,after_q2_fair_decimal_tie_is_loss,after_q2_fair_american_tie_is_loss,after_q2_fair_decimal_tie_is_push,after_q2_fair_american_tie_is_push,after_q3_win_count,after_q3_loss_count,after_q3_tie_count,after_q3_win_probability,after_q3_loss_probability,after_q3_tie_probability,after_q3_win_pct,after_q3_loss_pct,after_q3_tie_pct,after_q3_fair_decimal_tie_is_loss,after_q3_fair_american_tie_is_loss,after_q3_fair_decimal_tie_is_push,after_q3_fair_american_tie_is_push,after_q4_win_count,after_q4_loss_count,after_q4_tie_count,after_q4_win_probability,after_q4_loss_probability,after_q4_tie_probability,after_q4_win_pct,after_q4_loss_pct,after_q4_tie_pct,after_q4_fair_decimal_tie_is_loss,after_q4_fair_american_tie_is_loss,after_q4_fair_decimal_tie_is_push,after_q4_fair_american_tie_is_push
1,TIE,Q2,LOSS,12,34,LOW,AVAILABLE,0.3529,35.2941,16,12,6,0.4706,0.3529,0.1765,47.0588,35.2941,17.6471,2.125,112.5,1.75,-133.33,,,,,,,,,,,,,,18,16,0,0.5294,0.4706,0.0,52.9412,47.0588,0.0,1.8889,-112.5,1.8889,-112.5,16.0,12.0,6.0,0.4706,0.3529,0.1765,47.0588,35.2941,17.6471,2.125,112.5,1.75,-133.33,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TIE,Q2,TIE,6,34,LOW,AVAILABLE,0.1765,17.6471,16,12,6,0.4706,0.3529,0.1765,47.0588,35.2941,17.6471,2.125,112.5,1.75,-133.33,,,,,,,,,,,,,,18,16,0,0.5294,0.4706,0.0,52.9412,47.0588,0.0,1.8889,-112.5,1.8889,-112.5,16.0,12.0,6.0,0.4706,0.3529,0.1765,47.0588,35.2941,17.6471,2.125,112.5,1.75,-133.33,,,,,,,,,,,,,,,,,,,,,,,,,,
2,WIN-WIN,Q3,WIN,10,33,LOW,AVAILABLE,0.303,30.303,10,17,6,0.303,0.5152,0.1818,30.303,51.5152,18.1818,3.3,230.0,2.7,170.0,,,,,,,,,,,,,,29,4,0,0.8788,0.1212,0.0,87.8788,12.1212,0.0,1.1379,-725.0,1.1379,-725.0,,,,,,,,,,,,,,28.0,3.0,2.0,0.8485,0.0909,0.0606,84.8485,9.0909,6.0606,1.1786,-560.0,1.1071,-933.33,,,,,,,,,,,,,
2,WIN-WIN,Q3,LOSS,17,33,LOW,AVAILABLE,0.5152,51.5152,10,17,6,0.303,0.5152,0.1818,30.303,51.5152,18.1818,3.3,230.0,2.7,170.0,,,,,,,,,,,,,,29,4,0,0.8788,0.1212,0.0,87.8788,12.1212,0.0,1.1379,-725.0,1.1379,-725.0,,,,,,,,,,,,,,28.0,3.0,2.0,0.8485,0.0909,0.0606,84.8485,9.0909,6.0606,1.1786,-560.0,1.1071,-933.33,,,,,,,,,,,,,
2,WIN-WIN,Q3,TIE,6,33,LOW,AVAILABLE,0.1818,18.1818,10,17,6,0.303,0.5152,0.1818,30.303,51.5152,18.1818,3.3,230.0,2.7,170.0,,,,,,,,,,,,,,29,4,0,0.8788,0.1212,0.0,87.8788,12.1212,0.0,1.1379,-725.0,1.1379,-725.0,,,,,,,,,,,,,,28.0,3.0,2.0,0.8485,0.0909,0.0606,84.8485,9.0909,6.0606,1.1786,-560.0,1.1071,-933.33,,,,,,,,,,,,,
2,WIN-LOSS,Q3,WIN,7,22,LOW,AVAILABLE,0.3182,31.8182,7,9,6,0.3182,0.4091,0.2727,31.8182,40.9091,27.2727,3.1429,214.29,2.2857,128.57,,,,,,,,,,,,,,9,13,0,0.4091,0.5909,0.0,40.9091,59.0909,0.0,2.4444,144.44,2.4444,144.44,,,,,,,,,,,,,,10.0,11.0,1.0,0.4545,0.5,0.0455,45.4545,50.0,4.5455,2.2,120.0,2.1,110.0,,,,,,,,,,,,,
2,WIN-LOSS,Q3,LOSS,9,22,LOW,AVAILABLE,0.4091,40.9091,7,9,6,0.3182,0.4091,0.2727,31.8182,40.9091,27.2727,3.1429,214.29,2.2857,128.57,,,,,,,,,,,,,,9,13,0,0.4091,0.5909,0.0,40.9091,59.0909,0.0,2.4444,144.44,2.4444,144.44,,,,,,,,,,,,,,10.0,11.0,1.0,0.4545,0.5,0.0455,45.4545,50.0,4.5455,2.2,120.0,2.1,110.0,,,,,,,,,,,,,
2,WIN-LOSS,Q3,TIE,6,22,LOW,AVAILABLE,0.2727,27.2727,7,9,6,0.3182,0.4091,0.2727,31.8182,40.9091,27.2727,3.1429,214.29,2.2857,128.57,,,,,,,,,,,,,,9,13,0,0.4091,0.5909,0.0,40.9091,59.0909,0.0,2.4444,144.44,2.4444,144.44,,,,,,,,,,,,,,10.0,11.0,1.0,0.4545,0.5,0.0455,45.4545,50.0,4.5455,2.2,120.0,2.1,110.0,,,,,,,,,,,,,
2,WIN-TIE,Q3,WIN,2,6,VERY_LOW,AVAILABLE,0.3333,33.3333,2,3,1,0.3333,0.5,0.1667,33.3333,50.0,16.6667,3.0,200.0,2.5,150.0,,,,,,,,,,,,,,3,3,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0,,,,,,,,,,,,,,6.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,,,,,,,,,,,,,
2,WIN-TIE,Q3,LOSS,3,6,VERY_LOW,AVAILABLE,0.5,50.0,2,3,1,0.3333,0.5,0.1667,33.3333,50.0,16.6667,3.0,200.0,2.5,150.0,,,,,,,,,,,,,,3,3,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0,,,,,,,,,,,,,,6.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,,,,,,,,,,,,,
