completed_quarters,completed_path,next_quarter,next_result,count,sample_size,sample_quality,data_status,probability,probability_pct,next_quarter_win_count,next_quarter_loss_count,next_quarter_tie_count,next_quarter_win_probability,next_quarter_loss_probability,next_quarter_tie_probability,next_quarter_win_pct,next_quarter_loss_pct,next_quarter_tie_pct,next_quarter_fair_decimal_tie_is_loss,next_quarter_fair_american_tie_is_loss,next_quarter_fair_decimal_tie_is_push,next_quarter_fair_american_tie_is_push,after_q1_win_count,after_q1_loss_count,after_q1_tie_count,after_q1_win_probability,after_q1_loss_probability,after_q1_tie_probability,after_q1_win_pct,after_q1_loss_pct,after_q1_tie_pct,after_q1_fair_decimal_tie_is_loss,after_q1_fair_american_tie_is_loss,after_q1_fair_decimal_tie_is_push,after_q1_fair_american_tie_is_push,final_win_count,final_loss_count,final_tie_count,final_win_probability,final_loss_probability,final_tie_probability,final_win_pct,final_loss_pct,final_tie_pct,final_fair_decimal_tie_is_loss,final_fair_american_tie_is_loss,final_fair_decimal_tie_is_push,final_fair_american_tie_is_push,after_q2_win_count,after_q2_loss_count,after_q2_tie_count,after_q2_win_probability,after_q2_loss_probability,after_q2_tie_probability,after_q2_win_pct,after_q2_loss_pct,after_q2_tie_pct,after_q2_fair_decimal_tie_is_loss,after_q2_fair_american_tie_is_loss,after_q2_fair_decimal_tie_is_push,after_q2_fair_american_tie_is_push,after_q3_win_count,after_q3_loss_count,after_q3_tie_count,after_q3_win_probability,after_q3_loss_probability,after_q3_tie_probability,after_q3_win_pct,after_q3_loss_pct,after_q3_tie_pct,after_q3_fair_decimal_tie_is_loss,after_q3_fair_american_tie_is_loss,after_q3_fair_decimal_tie_is_push,after_q3_fair_american_tie_is_push,after_q4_win_count,after_q4_loss_count,after_q4_tie_count,after_q4_win_probability,after_q4_loss_probability,after_q4_tie_probability,after_q4_win_pct,after_q4_loss_pct,after_q4_tie_pct,after_q4_fair_decimal_tie_is_loss,after_q4_fair_american_tie_is_loss,after_q4_fair_decimal_tie_is_push,after_q4_fair_american_tie_is_push
1,TIE,Q2,LOSS,3,8,VERY_LOW,AVAILABLE,0.375,37.5,4,3,1,0.5,0.375,0.125,50.0,37.5,12.5,2.0,100.0,1.75,-133.33,,,,,,,,,,,,,,5,3,0,0.625,0.375,0.0,62.5,37.5,0.0,1.6,-166.67,1.6,-166.67,4.0,3.0,1.0,0.5,0.375,0.125,50.0,37.5,12.5,2.0,100.0,1.75,-133.33,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TIE,Q2,TIE,1,8,VERY_LOW,AVAILABLE,0.125,12.5,4,3,1,0.5,0.375,0.125,50.0,37.5,12.5,2.0,100.0,1.75,-133.33,,,,,,,,,,,,,,5,3,0,0.625,0.375,0.0,62.5,37.5,0.0,1.6,-166.67,1.6,-166.67,4.0,3.0,1.0,0.5,0.375,0.125,50.0,37.5,12.5,2.0,100.0,1.75,-133.33,,,,,,,,,,,,,,,,,,,,,,,,,,
2,WIN-WIN,Q3,WIN,4,11,VERY_LOW,AVAILABLE,0.3636,36.3636,4,3,4,0.3636,0.2727,0.3636,36.3636,27.2727,36.3636,2.75,175.0,1.75,-133.33,,,,,,,,,,,,,,8,3,0,0.7273,0.2727,0.0,72.7273,27.2727,0.0,1.375,-266.67,1.375,-266.67,,,,,,,,,,,,,,11.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,,,,,,,,,,,,,
2,WIN-WIN,Q3,LOSS,3,11,VERY_LOW,AVAILABLE,0.2727,27.2727,4,3,4,0.3636,0.2727,0.3636,36.3636,27.2727,36.3636,2.75,175.0,1.75,-133.33,,,,,,,,,,,,,,8,3,0,0.7273,0.2727,0.0,72.7273,27.2727,0.0,1.375,-266.67,1.375,-266.67,,,,,,,,,,,,,,11.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,,,,,,,,,,,,,
2,WIN-WIN,Q3,TIE,4,11,VERY_LOW,AVAILABLE,0.3636,36.3636,4,3,4,0.3636,0.2727,0.3636,36.3636,27.2727,36.3636,2.75,175.0,1.75,-133.33,,,,,,,,,,,,,,8,3,0,0.7273,0.2727,0.0,72.7273,27.2727,0.0,1.375,-266.67,1.375,-266.67,,,,,,,,,,,,,,11.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,,,,,,,,,,,,,
2,WIN-LOSS,Q3,WIN,2,7,VERY_LOW,AVAILABLE,0.2857,28.5714,2,5,0,0.2857,0.7143,0.0,28.5714,71.4286,0.0,3.5,250.0,3.5,250.0,,,,,,,,,,,,,,3,4,0,0.4286,0.5714,0.0,42.8571,57.1429,0.0,2.3333,133.33,2.3333,133.33,,,,,,,,,,,,,,4.0,3.0,0.0,0.5714,0.4286,0.0,57.1429,42.8571,0.0,1.75,-133.33,1.75,-133.33,,,,,,,,,,,,,
2,WIN-LOSS,Q3,LOSS,5,7,VERY_LOW,AVAILABLE,0.7143,71.4286,2,5,0,0.2857,0.7143,0.0,28.5714,71.4286,0.0,3.5,250.0,3.5,250.0,,,,,,,,,,,,,,3,4,0,0.4286,0.5714,0.0,42.8571,57.1429,0.0,2.3333,133.33,2.3333,133.33,,,,,,,,,,,,,,4.0,3.0,0.0,0.5714,0.4286,0.0,57.1429,42.8571,0.0,1.75,-133.33,1.75,-133.33,,,,,,,,,,,,,
2,WIN-LOSS,Q3,TIE,0,7,VERY_LOW,AVAILABLE,0.0,0.0,2,5,0,0.2857,0.7143,0.0,28.5714,71.4286,0.0,3.5,250.0,3.5,250.0,,,,,,,,,,,,,,3,4,0,0.4286,0.5714,0.0,42.8571,57.1429,0.0,2.3333,133.33,2.3333,133.33,,,,,,,,,,,,,,4.0,3.0,0.0,0.5714,0.4286,0.0,57.1429,42.8571,0.0,1.75,-133.33,1.75,-133.33,,,,,,,,,,,,,
2,WIN-TIE,Q3,WIN,0,2,VERY_LOW,AVAILABLE,0.0,0.0,0,0,2,0.0,0.0,1.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,,,,,,,,,,,,,,2.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,,,,,,,,,,,,,
2,WIN-TIE,Q3,LOSS,0,2,VERY_LOW,AVAILABLE,0.0,0.0,0,0,2,0.0,0.0,1.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,,,,,,,,,,,,,,2.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,,,,,,,,,,,,,
