completed_quarters,completed_path,next_quarter,next_result,count,sample_size,sample_quality,data_status,probability,probability_pct,next_quarter_win_count,next_quarter_loss_count,next_quarter_tie_count,next_quarter_win_probability,next_quarter_loss_probability,next_quarter_tie_probability,next_quarter_win_pct,next_quarter_loss_pct,next_quarter_tie_pct,next_quarter_fair_decimal_tie_is_loss,next_quarter_fair_american_tie_is_loss,next_quarter_fair_decimal_tie_is_push,next_quarter_fair_american_tie_is_push,after_q1_win_count,after_q1_loss_count,after_q1_tie_count,after_q1_win_probability,after_q1_loss_probability,after_q1_tie_probability,after_q1_win_pct,after_q1_loss_pct,after_q1_tie_pct,after_q1_fair_decimal_tie_is_loss,after_q1_fair_american_tie_is_loss,after_q1_fair_decimal_tie_is_push,after_q1_fair_american_tie_is_push,final_win_count,final_loss_count,final_tie_count,final_win_probability,final_loss_probability,final_tie_probability,final_win_pct,final_loss_pct,final_tie_pct,final_fair_decimal_tie_is_loss,final_fair_american_tie_is_loss,final_fair_decimal_tie_is_push,final_fair_american_tie_is_push,after_q2_win_count,after_q2_loss_count,after_q2_tie_count,after_q2_win_probability,after_q2_loss_probability,after_q2_tie_probability,after_q2_win_pct,after_q2_loss_pct,after_q2_tie_pct,after_q2_fair_decimal_tie_is_loss,after_q2_fair_american_tie_is_loss,after_q2_fair_decimal_tie_is_push,after_q2_fair_american_tie_is_push,after_q3_win_count,after_q3_loss_count,after_q3_tie_count,after_q3_win_probability,after_q3_loss_probability,after_q3_tie_probability,after_q3_win_pct,after_q3_loss_pct,after_q3_tie_pct,after_q3_fair_decimal_tie_is_loss,after_q3_fair_american_tie_is_loss,after_q3_fair_decimal_tie_is_push,after_q3_fair_american_tie_is_push,after_q4_win_count,after_q4_loss_count,after_q4_tie_count,after_q4_win_probability,after_q4_loss_probability,after_q4_tie_probability,after_q4_win_pct,after_q4_loss_pct,after_q4_tie_pct,after_q4_fair_decimal_tie_is_loss,after_q4_fair_american_tie_is_loss,after_q4_fair_decimal_tie_is_push,after_q4_fair_american_tie_is_push
2,WIN-LOSS,Q3,LOSS,5,21,LOW,AVAILABLE,0.2381,23.8095,12,5,4,0.5714,0.2381,0.1905,57.1429,23.8095,19.0476,1.75,-133.33,1.4167,-240.0,,,,,,,,,,,,,,16,5,0,0.7619,0.2381,0.0,76.1905,23.8095,0.0,1.3125,-320.0,1.3125,-320.0,,,,,,,,,,,,,,13.0,6.0,2.0,0.619,0.2857,0.0952,61.9048,28.5714,9.5238,1.6154,-162.5,1.4615,-216.67,,,,,,,,,,,,,
2,WIN-LOSS,Q3,TIE,4,21,LOW,AVAILABLE,0.1905,19.0476,12,5,4,0.5714,0.2381,0.1905,57.1429,23.8095,19.0476,1.75,-133.33,1.4167,-240.0,,,,,,,,,,,,,,16,5,0,0.7619,0.2381,0.0,76.1905,23.8095,0.0,1.3125,-320.0,1.3125,-320.0,,,,,,,,,,,,,,13.0,6.0,2.0,0.619,0.2857,0.0952,61.9048,28.5714,9.5238,1.6154,-162.5,1.4615,-216.67,,,,,,,,,,,,,
2,WIN-TIE,Q3,WIN,5,10,VERY_LOW,AVAILABLE,0.5,50.0,5,4,1,0.5,0.4,0.1,50.0,40.0,10.0,2.0,100.0,1.8,-125.0,,,,,,,,,,,,,,8,2,0,0.8,0.2,0.0,80.0,20.0,0.0,1.25,-400.0,1.25,-400.0,,,,,,,,,,,,,,9.0,1.0,0.0,0.9,0.1,0.0,90.0,10.0,0.0,1.1111,-900.0,1.1111,-900.0,,,,,,,,,,,,,
2,WIN-TIE,Q3,LOSS,4,10,VERY_LOW,AVAILABLE,0.4,40.0,5,4,1,0.5,0.4,0.1,50.0,40.0,10.0,2.0,100.0,1.8,-125.0,,,,,,,,,,,,,,8,2,0,0.8,0.2,0.0,80.0,20.0,0.0,1.25,-400.0,1.25,-400.0,,,,,,,,,,,,,,9.0,1.0,0.0,0.9,0.1,0.0,90.0,10.0,0.0,1.1111,-900.0,1.1111,-900.0,,,,,,,,,,,,,
2,WIN-TIE,Q3,TIE,1,10,VERY_LOW,AVAILABLE,0.1,10.0,5,4,1,0.5,0.4,0.1,50.0,40.0,10.0,2.0,100.0,1.8,-125.0,,,,,,,,,,,,,,8,2,0,0.8,0.2,0.0,80.0,20.0,0.0,1.25,-400.0,1.25,-400.0,,,,,,,,,,,,,,9.0,1.0,0.0,0.9,0.1,0.0,90.0,10.0,0.0,1.1111,-900.0,1.1111,-900.0,,,,,,,,,,,,,
2,LOSS-WIN,Q3,WIN,11,21,LOW,AVAILABLE,0.5238,52.381,11,4,6,0.5238,0.1905,0.2857,52.381,19.0476,28.5714,1.9091,-110.0,1.3636,-275.0,,,,,,,,,,,,,,12,9,0,0.5714,0.4286,0.0,57.1429,42.8571,0.0,1.75,-133.33,1.75,-133.33,,,,,,,,,,,,,,13.0,6.0,2.0,0.619,0.2857,0.0952,61.9048,28.5714,9.5238,1.6154,-162.5,1.4615,-216.67,,,,,,,,,,,,,
2,LOSS-WIN,Q3,LOSS,4,21,LOW,AVAILABLE,0.1905,19.0476,11,4,6,0.5238,0.1905,0.2857,52.381,19.0476,28.5714,1.9091,-110.0,1.3636,-275.0,,,,,,,,,,,,,,12,9,0,0.5714,0.4286,0.0,57.1429,42.8571,0.0,1.75,-133.33,1.75,-133.33,,,,,,,,,,,,,,13.0,6.0,2.0,0.619,0.2857,0.0952,61.9048,28.5714,9.5238,1.6154,-162.5,1.4615,-216.67,,,,,,,,,,,,,
2,LOSS-WIN,Q3,TIE,6,21,LOW,AVAILABLE,0.2857,28.5714,11,4,6,0.5238,0.1905,0.2857,52.381,19.0476,28.5714,1.9091,-110.0,1.3636,-275.0,,,,,,,,,,,,,,12,9,0,0.5714,0.4286,0.0,57.1429,42.8571,0.0,1.75,-133.33,1.75,-133.33,,,,,,,,,,,,,,13.0,6.0,2.0,0.619,0.2857,0.0952,61.9048,28.5714,9.5238,1.6154,-162.5,1.4615,-216.67,,,,,,,,,,,,,
2,LOSS-LOSS,Q3,WIN,13,29,LOW,AVAILABLE,0.4483,44.8276,13,10,6,0.4483,0.3448,0.2069,44.8276,34.4828,20.6897,2.2308,123.08,1.7692,-130.0,,,,,,,,,,,,,,5,24,0,0.1724,0.8276,0.0,17.2414,82.7586,0.0,5.8,480.0,5.8,480.0,,,,,,,,,,,,,,2.0,26.0,1.0,0.069,0.8966,0.0345,6.8966,89.6552,3.4483,14.5,1350.0,14.0,1300.0,,,,,,,,,,,,,
2,LOSS-LOSS,Q3,LOSS,10,29,LOW,AVAILABLE,0.3448,34.4828,13,10,6,0.4483,0.3448,0.2069,44.8276,34.4828,20.6897,2.2308,123.08,1.7692,-130.0,,,,,,,,,,,,,,5,24,0,0.1724,0.8276,0.0,17.2414,82.7586,0.0,5.8,480.0,5.8,480.0,,,,,,,,,,,,,,2.0,26.0,1.0,0.069,0.8966,0.0345,6.8966,89.6552,3.4483,14.5,1350.0,14.0,1300.0,,,,,,,,,,,,,
2,LOSS-LOSS,Q3,TIE,6,29,LOW,AVAILABLE,0.2069,20.6897,13,10,6,0.4483,0.3448,0.2069,44.8276,34.4828,20.6897,2.2308,123.08,1.7692,-130.0,,,,,,,,,,,,,,5,24,0,0.1724,0.8276,0.0,17.2414,82.7586,0.0,5.8,480.0,5.8,480.0,,,,,,,,,,,,,,2.0,26.0,1.0,0.069,0.8966,0.0345,6.8966,89.6552,3.4483,14.5,1350.0,14.0,1300.0,,,,,,,,,,,,,
2,LOSS-TIE,Q3,WIN,4,9,VERY_LOW,AVAILABLE,0.4444,44.4444,4,2,3,0.4444,0.2222,0.3333,44.4444,22.2222,33.3333,2.25,125.0,1.5,-200.0,,,,,,,,,,,,,,4,5,0,0.4444,0.5556,0.0,44.4444,55.5556,0.0,2.25,125.0,2.25,125.0,,,,,,,,,,,,,,3.0,6.0,0.0,0.3333,0.6667,0.0,33.3333,66.6667,0.0,3.0,200.0,3.0,200.0,,,,,,,,,,,,,
2,LOSS-TIE,Q3,LOSS,2,9,VERY_LOW,AVAILABLE,0.2222,22.2222,4,2,3,0.4444,0.2222,0.3333,44.4444,22.2222,33.3333,2.25,125.0,1.5,-200.0,,,,,,,,,,,,,,4,5,0,0.4444,0.5556,0.0,44.4444,55.5556,0.0,2.25,125.0,2.25,125.0,,,,,,,,,,,,,,3.0,6.0,0.0,0.3333,0.6667,0.0,33.3333,66.6667,0.0,3.0,200.0,3.0,200.0,,,,,,,,,,,,,
2,LOSS-TIE,Q3,TIE,3,9,VERY_LOW,AVAILABLE,0.3333,33.3333,4,2,3,0.4444,0.2222,0.3333,44.4444,22.2222,33.3333,2.25,125.0,1.5,-200.0,,,,,,,,,,,,,,4,5,0,0.4444,0.5556,0.0,44.4444,55.5556,0.0,2.25,125.0,2.25,125.0,,,,,,,,,,,,,,3.0,6.0,0.0,0.3333,0.6667,0.0,33.3333,66.6667,0.0,3.0,200.0,3.0,200.0,,,,,,,,,,,,,
2,TIE-WIN,Q3,WIN,9,17,VERY_LOW,AVAILABLE,0.5294,52.9412,9,5,3,0.5294,0.2941,0.1765,52.9412,29.4118,17.6471,1.8889,-112.5,1.5556,-180.0,,,,,,,,,,,,,,15,2,0,0.8824,0.1176,0.0,88.2353,11.7647,0.0,1.1333,-750.0,1.1333,-750.0,,,,,,,,,,,,,,15.0,1.0,1.0,0.8824,0.0588,0.0588,88.2353,5.8824,5.8824,1.1333,-750.0,1.0667,-1500.0,,,,,,,,,,,,,
2,TIE-WIN,Q3,LOSS,5,17,VERY_LOW,AVAILABLE,0.2941,29.4118,9,5,3,0.5294,0.2941,0.1765,52.9412,29.4118,17.6471,1.8889,-112.5,1.5556,-180.0,,,,,,,,,,,,,,15,2,0,0.8824,0.1176,0.0,88.2353,11.7647,0.0,1.1333,-750.0,1.1333,-750.0,,,,,,,,,,,,,,15.0,1.0,1.0,0.8824,0.0588,0.0588,88.2353,5.8824,5.8824,1.1333,-750.0,1.0667,-1500.0,,,,,,,,,,,,,
2,TIE-WIN,Q3,TIE,3,17,VERY_LOW,AVAILABLE,0.1765,17.6471,9,5,3,0.5294,0.2941,0.1765,52.9412,29.4118,17.6471,1.8889,-112.5,1.5556,-180.0,,,,,,,,,,,,,,15,2,0,0.8824,0.1176,0.0,88.2353,11.7647,0.0,1.1333,-750.0,1.1333,-750.0,,,,,,,,,,,,,,15.0,1.0,1.0,0.8824,0.0588,0.0588,88.2353,5.8824,5.8824,1.1333,-750.0,1.0667,-1500.0,,,,,,,,,,,,,
2,TIE-LOSS,Q3,WIN,5,11,VERY_LOW,AVAILABLE,0.4545,45.4545,5,3,3,0.4545,0.2727,0.2727,45.4545,27.2727,27.2727,2.2,120.0,1.6,-166.67,,,,,,,,,,,,,,5,6,0,0.4545,0.5455,0.0,45.4545,54.5455,0.0,2.2,120.0,2.2,120.0,,,,,,,,,,,,,,3.0,7.0,1.0,0.2727,0.6364,0.0909,27.2727,63.6364,9.0909,3.6667,266.67,3.3333,233.33,,,,,,,,,,,,,
2,TIE-LOSS,Q3,LOSS,3,11,VERY_LOW,AVAILABLE,0.2727,27.2727,5,3,3,0.4545,0.2727,0.2727,45.4545,27.2727,27.2727,2.2,120.0,1.6,-166.67,,,,,,,,,,,,,,5,6,0,0.4545,0.5455,0.0,45.4545,54.5455,0.0,2.2,120.0,2.2,120.0,,,,,,,,,,,,,,3.0,7.0,1.0,0.2727,0.6364,0.0909,27.2727,63.6364,9.0909,3.6667,266.67,3.3333,233.33,,,,,,,,,,,,,
2,TIE-LOSS,Q3,TIE,3,11,VERY_LOW,AVAILABLE,0.2727,27.2727,5,3,3,0.4545,0.2727,0.2727,45.4545,27.2727,27.2727,2.2,120.0,1.6,-166.67,,,,,,,,,,,,,,5,6,0,0.4545,0.5455,0.0,45.4545,54.5455,0.0,2.2,120.0,2.2,120.0,,,,,,,,,,,,,,3.0,7.0,1.0,0.2727,0.6364,0.0909,27.2727,63.6364,9.0909,3.6667,266.67,3.3333,233.33,,,,,,,,,,,,,
