role,side,spread_bucket,season_phase,completed_quarters,completed_path,next_quarter,sample_size,sample_quality,next_quarter_win_count,next_quarter_loss_count,next_quarter_tie_count,next_quarter_win_probability,next_quarter_loss_probability,next_quarter_tie_probability,next_quarter_win_pct,next_quarter_loss_pct,next_quarter_tie_pct,next_quarter_fair_decimal_tie_is_loss,next_quarter_fair_american_tie_is_loss,next_quarter_fair_decimal_tie_is_push,next_quarter_fair_american_tie_is_push,final_win_count,final_loss_count,final_tie_count,final_win_probability,final_loss_probability,final_tie_probability,final_win_pct,final_loss_pct,final_tie_pct,final_fair_decimal_tie_is_loss,final_fair_american_tie_is_loss,final_fair_decimal_tie_is_push,final_fair_american_tie_is_push
FAVORITE,away,2-3,EARLY,3,WIN-LOSS-WIN,Q4,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,2-3,EARLY,3,WIN-TIE-LOSS,Q4,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,2-3,EARLY,3,LOSS-WIN-WIN,Q4,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,2-3,EARLY,3,TIE-LOSS-LOSS,Q4,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,away,2-3,LATE,1,WIN,Q2,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,2-3,LATE,1,LOSS,Q2,2,VERY_LOW,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0
FAVORITE,away,2-3,LATE,1,TIE,Q2,2,VERY_LOW,0,2,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,2-3,LATE,2,WIN-WIN,Q3,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,2-3,LATE,2,LOSS-WIN,Q3,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,away,2-3,LATE,2,LOSS-LOSS,Q3,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,2-3,LATE,2,TIE-LOSS,Q3,2,VERY_LOW,1,0,1,0.5,0.0,0.5,50.0,0.0,50.0,2.0,100.0,1.0,,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,2-3,LATE,3,WIN-WIN-WIN,Q4,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,2-3,LATE,3,LOSS-WIN-WIN,Q4,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,away,2-3,LATE,3,LOSS-LOSS-WIN,Q4,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,2-3,LATE,3,TIE-LOSS-WIN,Q4,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,2-3,LATE,3,TIE-LOSS-TIE,Q4,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,2-3,MIDDLE,1,WIN,Q2,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,2-3,MIDDLE,1,LOSS,Q2,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,away,2-3,MIDDLE,1,TIE,Q2,2,VERY_LOW,1,0,1,0.5,0.0,0.5,50.0,0.0,50.0,2.0,100.0,1.0,,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0
FAVORITE,away,2-3,MIDDLE,2,WIN-WIN,Q3,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,2-3,MIDDLE,2,LOSS-WIN,Q3,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,away,2-3,MIDDLE,2,TIE-WIN,Q3,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,away,2-3,MIDDLE,2,TIE-TIE,Q3,1,VERY_LOW,0,0,1,0.0,0.0,1.0,0.0,0.0,100.0,,,,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,2-3,MIDDLE,3,WIN-WIN-WIN,Q4,1,VERY_LOW,0,0,1,0.0,0.0,1.0,0.0,0.0,100.0,,,,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,2-3,MIDDLE,3,LOSS-WIN-LOSS,Q4,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,away,2-3,MIDDLE,3,TIE-WIN-LOSS,Q4,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,away,2-3,MIDDLE,3,TIE-TIE-TIE,Q4,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,3.5-4.5,EARLY,1,WIN,Q2,1,VERY_LOW,0,0,1,0.0,0.0,1.0,0.0,0.0,100.0,,,,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,3.5-4.5,EARLY,1,TIE,Q2,1,VERY_LOW,0,0,1,0.0,0.0,1.0,0.0,0.0,100.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,away,3.5-4.5,EARLY,2,WIN-TIE,Q3,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,3.5-4.5,EARLY,2,TIE-TIE,Q3,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,away,3.5-4.5,EARLY,3,WIN-TIE-WIN,Q4,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,3.5-4.5,EARLY,3,TIE-TIE-WIN,Q4,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,away,3.5-4.5,LATE,1,LOSS,Q2,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,3.5-4.5,LATE,1,TIE,Q2,2,VERY_LOW,0,2,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,2,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,away,3.5-4.5,LATE,2,LOSS-WIN,Q3,1,VERY_LOW,0,0,1,0.0,0.0,1.0,0.0,0.0,100.0,,,,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,3.5-4.5,LATE,2,TIE-LOSS,Q3,2,VERY_LOW,0,2,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,2,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,away,3.5-4.5,LATE,3,LOSS-WIN-TIE,Q4,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,3.5-4.5,LATE,3,TIE-LOSS-LOSS,Q4,2,VERY_LOW,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0,0,2,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,away,3.5-4.5,MIDDLE,1,WIN,Q2,1,VERY_LOW,0,0,1,0.0,0.0,1.0,0.0,0.0,100.0,,,,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,3.5-4.5,MIDDLE,1,LOSS,Q2,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,away,3.5-4.5,MIDDLE,2,WIN-TIE,Q3,1,VERY_LOW,0,0,1,0.0,0.0,1.0,0.0,0.0,100.0,,,,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,3.5-4.5,MIDDLE,2,LOSS-LOSS,Q3,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,away,3.5-4.5,MIDDLE,3,WIN-TIE-TIE,Q4,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,3.5-4.5,MIDDLE,3,LOSS-LOSS-WIN,Q4,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,away,5-6,EARLY,1,WIN,Q2,2,VERY_LOW,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,5-6,EARLY,1,TIE,Q2,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,5-6,EARLY,2,WIN-WIN,Q3,2,VERY_LOW,1,0,1,0.5,0.0,0.5,50.0,0.0,50.0,2.0,100.0,1.0,,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,5-6,EARLY,2,TIE-WIN,Q3,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,5-6,EARLY,3,WIN-WIN-WIN,Q4,1,VERY_LOW,0,0,1,0.0,0.0,1.0,0.0,0.0,100.0,,,,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,5-6,EARLY,3,WIN-WIN-TIE,Q4,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,5-6,EARLY,3,TIE-WIN-LOSS,Q4,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,5-6,LATE,1,WIN,Q2,2,VERY_LOW,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0
FAVORITE,away,5-6,LATE,2,WIN-WIN,Q3,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,5-6,LATE,2,WIN-LOSS,Q3,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,away,5-6,LATE,3,WIN-WIN-WIN,Q4,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,5-6,LATE,3,WIN-LOSS-LOSS,Q4,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,away,5-6,MIDDLE,1,WIN,Q2,1,VERY_LOW,0,0,1,0.0,0.0,1.0,0.0,0.0,100.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,away,5-6,MIDDLE,2,WIN-TIE,Q3,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,away,5-6,MIDDLE,3,WIN-TIE-WIN,Q4,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
FAVORITE,away,6.5-7,LATE,1,WIN,Q2,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,6.5-7,LATE,1,TIE,Q2,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,6.5-7,LATE,2,WIN-WIN,Q3,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,6.5-7,LATE,2,TIE-WIN,Q3,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,6.5-7,LATE,3,WIN-WIN-WIN,Q4,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,6.5-7,LATE,3,TIE-WIN-WIN,Q4,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,6.5-7,MIDDLE,1,WIN,Q2,2,VERY_LOW,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,6.5-7,MIDDLE,2,WIN-WIN,Q3,2,VERY_LOW,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,6.5-7,MIDDLE,3,WIN-WIN-WIN,Q4,2,VERY_LOW,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,7.5-9.5,LATE,1,LOSS,Q2,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,7.5-9.5,LATE,2,LOSS-LOSS,Q3,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,7.5-9.5,LATE,3,LOSS-LOSS-WIN,Q4,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
FAVORITE,away,7.5-9.5,MIDDLE,1,LOSS,Q2,3,VERY_LOW,0,2,1,0.0,0.6667,0.3333,0.0,66.6667,33.3333,,,,,1,2,0,0.3333,0.6667,0.0,33.3333,66.6667,0.0,3.0,200.0,3.0,200.0
