binary_path,cases,su_wins,su_win_rate,break_even_ml,covers,cover_rate_pregame_spread,avg_final_margin,median_q3_wp,sample_flag
Q1_NOT_WIN__Q2_NOT_WIN__Q3_NOT_WIN,1440,156,0.10833333333333334,823.076923076923,381,0.26458333333333334,-12.64861111111111,0.0944354310631752,OK
Q1_WIN__Q2_WIN__Q3_WIN,501,404,0.8063872255489022,-416.49484536082474,463,0.9241516966067864,8.72055888223553,0.8669353723526001,OK
Q1_NOT_WIN__Q2_WIN__Q3_WIN,286,194,0.6783216783216783,-210.86956521739134,243,0.8496503496503497,5.475524475524476,0.8148017823696136,OK
Q1_WIN__Q2_NOT_WIN__Q3_NOT_WIN,242,36,0.1487603305785124,572.2222222222223,80,0.3305785123966942,-9.400826446280991,0.16517016291618347,OK
Q1_NOT_WIN__Q2_NOT_WIN__Q3_WIN,150,98,0.6533333333333333,-188.46153846153845,128,0.8533333333333334,2.74,0.6962719857692719,OK
Q1_WIN__Q2_WIN__Q3_NOT_WIN,126,37,0.29365079365079366,240.54054054054052,75,0.5952380952380952,-3.246031746031746,0.3596439063549042,OK
Q1_NOT_WIN__Q2_WIN__Q3_NOT_WIN,118,26,0.22033898305084745,353.84615384615387,47,0.3983050847457627,-5.983050847457627,0.3203602284193039,OK
Q1_WIN__Q2_NOT_WIN__Q3_WIN,50,26,0.52,-108.33333333333334,39,0.78,1.08,0.6642559170722961,OK
