margin_trajectory_with_q3_lead,cases,su_wins,su_win_rate,break_even_ml,covers,cover_rate_pregame_spread,avg_final_margin,median_q3_wp,sample_flag
Q1_LEAD_4_7__Q2_LEAD_14_PLUS__Q3_LEAD_8_13__Q3_LEAD_8+,10,10,1.0,,10,1.0,6.4,0.9108580052852631,SAMPLE_TOO_SMALL
Q1_LEAD_1_3__Q2_LEAD_8_13__Q3_LEAD_8_13__Q3_LEAD_8+,10,9,0.9,-900.0000000000002,10,1.0,8.3,0.8831967115402222,SAMPLE_TOO_SMALL
Q1_TIE__Q2_LEAD_4_7__Q3_LEAD_14_PLUS__Q3_LEAD_8+,10,9,0.9,-900.0000000000002,9,0.9,12.5,0.9581989049911499,SAMPLE_TOO_SMALL
Q1_TRAIL_1_3__Q2_LEAD_4_7__Q3_LEAD_4_7__Q3_LEAD_4-7,10,8,0.8,-400.0000000000001,9,0.9,3.6,0.7288070321083069,SAMPLE_TOO_SMALL
Q1_TIE__Q2_LEAD_8_13__Q3_LEAD_4_7__Q3_LEAD_4-7,10,7,0.7,-233.3333333333333,9,0.9,3.0,0.7787161469459534,SAMPLE_TOO_SMALL
Q1_TRAIL_4_7__Q2_LEAD_8_13__Q3_LEAD_8_13__Q3_LEAD_8+,10,7,0.7,-233.3333333333333,9,0.9,4.1,0.8626428544521332,SAMPLE_TOO_SMALL
Q1_LEAD_4_7__Q2_LEAD_1_3__Q3_LEAD_1_3__Q3_LEAD_1-3,10,6,0.6,-150.0,7,0.7,-0.6,0.5809241533279419,SAMPLE_TOO_SMALL
Q1_TIE__Q2_LEAD_8_13__Q3_LEAD_14_PLUS__Q3_LEAD_8+,9,9,1.0,,9,1.0,17.77777777777778,0.98032546043396,SAMPLE_TOO_SMALL
Q1_TRAIL_1_3__Q2_LEAD_8_13__Q3_LEAD_8_13__Q3_LEAD_8+,9,8,0.8888888888888888,-799.9999999999997,8,0.8888888888888888,9.222222222222221,0.8728274703025818,SAMPLE_TOO_SMALL
Q1_LEAD_1_3__Q2_LEAD_1_3__Q3_LEAD_8_13__Q3_LEAD_8+,9,7,0.7777777777777778,-350.00000000000006,9,1.0,10.222222222222221,0.8131420612335205,SAMPLE_TOO_SMALL
