path_with_q3_lead,cases,su_wins,su_win_rate,break_even_ml,covers,cover_rate_pregame_spread,avg_final_margin,median_q3_wp,sample_flag
Q1_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_8+,240,218,0.9083333333333333,-990.9090909090908,235,0.9791666666666666,12.7875,0.9524820446968079,OK
Q1_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_4-7,89,63,0.7078651685393258,-242.30769230769226,80,0.898876404494382,3.662921348314607,0.7452518343925476,OK
Q1_WIN__Q2_WIN__Q3_WIN__Q3_LEAD_1-3,70,37,0.5285714285714286,-112.12121212121214,56,0.8,1.042857142857143,0.6169713139533997,OK
Q1_LOST__Q2_WIN__Q3_WIN__Q3_LEAD_8+,59,49,0.8305084745762712,-490.0,57,0.9661016949152542,9.915254237288135,0.9031344652175903,OK
Q1_TIE__Q2_WIN__Q3_WIN__Q3_LEAD_8+,53,43,0.8113207547169812,-430.0000000000001,48,0.9056603773584906,11.60377358490566,0.9296659827232361,OK
Q1_TIE__Q2_WIN__Q3_WIN__Q3_LEAD_4-7,42,25,0.5952380952380952,-147.05882352941177,36,0.8571428571428571,2.4047619047619047,0.7630248665809631,OK
Q1_LOST__Q2_WIN__Q3_WIN__Q3_LEAD_1-3,31,18,0.5806451612903226,-138.46153846153848,23,0.7419354838709677,1.096774193548387,0.6418070793151855,OK
Q1_LOST__Q2_WIN__Q3_WIN__Q3_LEAD_4-7,27,11,0.4074074074074074,145.45454545454544,20,0.7407407407407407,-1.1111111111111112,0.7281509637832642,SAMPLE_TOO_SMALL
Q1_TIE__Q2_WIN__Q3_WIN__Q3_LEAD_1-3,26,15,0.5769230769230769,-136.36363636363635,19,0.7307692307692307,1.3461538461538463,0.5947341024875641,SAMPLE_TOO_SMALL
Q1_LOST__Q2_LOST__Q3_WIN__Q3_LEAD_1-3,22,11,0.5,-100.0,17,0.7727272727272727,-0.18181818181818182,0.5339333713054657,SAMPLE_TOO_SMALL
Q1_LOST__Q2_LOST__Q3_WIN__Q3_LEAD_4-7,20,12,0.6,-150.0,17,0.85,2.05,0.6940622627735138,SAMPLE_TOO_SMALL
Q1_TIE__Q2_LOST__Q3_WIN__Q3_LEAD_4-7,16,12,0.75,-300.0,14,0.875,3.9375,0.6989147961139679,SAMPLE_TOO_SMALL
Q1_WIN__Q2_LOST__Q3_WIN__Q3_LEAD_1-3,16,4,0.25,300.0,11,0.6875,-3.125,0.5482017397880554,SAMPLE_TOO_SMALL
Q1_LOST__Q2_TIE__Q3_WIN__Q3_LEAD_4-7,11,9,0.8181818181818182,-450.00000000000017,10,0.9090909090909091,7.363636363636363,0.7863541841506958,SAMPLE_TOO_SMALL
Q1_TIE__Q2_LOST__Q3_WIN__Q3_LEAD_1-3,9,6,0.6666666666666666,-199.99999999999994,9,1.0,2.888888888888889,0.6303126811981201,SAMPLE_TOO_SMALL
Q1_WIN__Q2_TIE__Q3_WIN__Q3_LEAD_1-3,9,6,0.6666666666666666,-199.99999999999994,8,0.8888888888888888,2.0,0.6177063584327698,SAMPLE_TOO_SMALL
Q1_WIN__Q2_TIE__Q3_WIN__Q3_LEAD_4-7,8,7,0.875,-700.0,7,0.875,5.875,0.7415737509727478,SAMPLE_TOO_SMALL
Q1_WIN__Q2_LOST__Q3_WIN__Q3_LEAD_4-7,8,6,0.75,-300.0,8,1.0,6.125,0.7073072791099548,SAMPLE_TOO_SMALL
Q1_LOST__Q2_LOST__Q3_WIN__Q3_LEAD_8+,8,5,0.625,-166.66666666666666,8,1.0,3.375,0.8364522457122803,SAMPLE_TOO_SMALL
Q1_TIE__Q2_TIE__Q3_WIN__Q3_LEAD_8+,7,6,0.8571428571428571,-599.9999999999998,6,0.8571428571428571,7.857142857142857,0.8596516251564026,SAMPLE_TOO_SMALL
Q1_TIE__Q2_TIE__Q3_WIN__Q3_LEAD_1-3,7,5,0.7142857142857143,-250.00000000000003,7,1.0,1.7142857142857142,0.600955069065094,SAMPLE_TOO_SMALL
Q1_TIE__Q2_TIE__Q3_WIN__Q3_LEAD_4-7,7,3,0.42857142857142855,133.33333333333334,5,0.7142857142857143,2.0,0.7092878818511963,SAMPLE_TOO_SMALL
Q1_LOST__Q2_TIE__Q3_WIN__Q3_LEAD_8+,6,6,1.0,,6,1.0,7.333333333333333,0.9109667837619781,SAMPLE_TOO_SMALL
Q1_LOST__Q2_TIE__Q3_WIN__Q3_LEAD_1-3,6,3,0.5,-100.0,4,0.6666666666666666,-0.6666666666666666,0.5367398262023926,SAMPLE_TOO_SMALL
Q1_TIE__Q2_LOST__Q3_WIN__Q3_LEAD_8+,3,3,1.0,,3,1.0,9.333333333333334,0.869610071182251,SAMPLE_TOO_SMALL
Q1_WIN__Q2_LOST__Q3_WIN__Q3_LEAD_8+,1,1,1.0,,1,1.0,14.0,0.8293628096580505,SAMPLE_TOO_SMALL
Q1_WIN__Q2_TIE__Q3_WIN__Q3_LEAD_8+,1,0,0.0,,1,1.0,-4.0,0.8602086901664734,SAMPLE_TOO_SMALL
