game_id,snapshot,underdog_side,underdog_team,favorite_team,spread_line_away_perspective,underdog_score_now,favorite_score_now,underdog_margin_now,underdog_wp,underdog_fair_ml,underdog_vegas_wp,underdog_vegas_fair_ml,underdog_final,favorite_final,underdog_final_margin,underdog_won_su,underdog_covered,ats_margin,pregame_spread_abs,season
2017_07_TB_BUF,Q1,away,TB,BUF,3.0,6.0,3.0,3.0,0.5047516226768494,-101.91888470287664,0.5165688097476959,-106.85467139141296,27,30,-3,False,False,0.0,3.0,2017
2017_07_WAS_PHI,Q1,away,WAS,PHI,5.0,3.0,0.0,3.0,0.45266568660736084,120.91358580651448,0.3834225535392761,160.8088623815303,24,34,-10,False,False,-5.0,5.0,2017
2017_08_CAR_TB,Q1,away,CAR,TB,1.5,7.0,0.0,7.0,0.6566344499588013,-191.23480788332287,0.6534893810749054,-188.5914443551788,17,3,14,True,True,15.5,1.5,2017
2017_08_DAL_WAS,Q1,home,WAS,DAL,-3.0,10.0,7.0,3.0,0.5953347086906433,-147.11780858801762,0.4388296604156494,127.87885373400304,19,33,-14,False,False,-11.0,3.0,2017
2017_08_LAC_NE,Q1,away,LAC,NE,6.5,7.0,0.0,7.0,0.487360417842865,105.18695474412132,0.3225787878036499,210.00178493096973,13,21,-8,False,False,-1.5,6.5,2017
2017_08_MIN_CLE,Q1,home,CLE,MIN,-11.0,6.0,3.0,3.0,0.7285948395729065,-268.452832078197,0.3344213366508484,199.02398274427298,16,33,-17,False,False,-6.0,11.0,2017
2017_08_OAK_BUF,Q1,away,LV,BUF,2.5,7.0,0.0,7.0,0.6382266283035278,-176.41614287714904,0.6416797637939453,-179.07996784891117,14,34,-20,False,False,-17.5,2.5,2017
2017_09_BUF_NYJ,Q1,home,NYJ,BUF,-3.0,7.0,0.0,7.0,0.6261230707168579,-167.46769369197594,0.4451557397842407,124.64048211187453,34,21,13,True,True,16.0,3.0,2017
2017_09_IND_HOU,Q1,away,IND,HOU,6.0,7.0,0.0,7.0,0.6726275682449341,-205.46249561666872,0.5286547243595123,-112.15869802474411,20,14,6,True,True,12.0,6.0,2017
2017_10_CLE_DET,Q1,away,CLE,DET,10.5,10.0,3.0,7.0,0.6874014139175415,-219.89907968944428,0.404125452041626,147.44791374758483,24,38,-14,False,False,-3.5,10.5,2017
2017_10_DAL_ATL,Q1,away,DAL,ATL,3.5,7.0,3.0,4.0,0.5810055136680603,-138.6666251277996,0.5216504335403442,-109.05213887851208,7,27,-20,False,False,-16.5,3.5,2017
2017_10_MIN_WAS,Q1,home,WAS,MIN,-1.0,10.0,7.0,3.0,0.563567578792572,-129.13054837525902,0.48093122243881226,107.92993953043414,30,38,-8,False,False,-7.0,1.0,2017
2017_11_ATL_SEA,Q1,away,ATL,SEA,1.0,14.0,7.0,7.0,0.6364400386810303,-175.0577913948695,0.6485666632652283,-184.54898709700507,34,31,3,True,True,4.0,1.0,2017
2017_11_DET_CHI,Q1,home,CHI,DET,-3.0,10.0,0.0,10.0,0.758646547794342,-314.33010005089847,0.639869749546051,-177.6773122334174,24,27,-3,False,False,0.0,3.0,2017
2017_11_LA_MIN,Q1,away,LA,MIN,1.0,7.0,0.0,7.0,0.5430682897567749,-118.85108377960883,0.5479357242584229,-121.2074816926367,7,24,-17,False,False,-16.0,1.0,2017
2017_11_TB_MIA,Q1,home,MIA,TB,-1.0,7.0,3.0,4.0,0.6163619756698608,-160.66237874779884,0.4449455142021179,124.74661909856829,20,30,-10,False,False,-9.0,1.0,2017
2017_12_BUF_KC,Q1,away,BUF,KC,8.5,7.0,0.0,7.0,0.6865206956863403,-219.0003251377082,0.4446325898170471,124.90479170936835,16,10,6,True,True,14.5,8.5,2017
2017_12_GB_PIT,Q1,away,GB,PIT,14.0,14.0,6.0,8.0,0.7256930470466614,-264.5551048682701,0.41579723358154297,140.50184061743826,28,31,-3,False,True,11.0,14.0,2017
2017_12_HOU_BAL,Q1,away,HOU,BAL,7.5,7.0,0.0,7.0,0.6508304476737976,-186.39381450584688,0.4597889184951782,117.49110510815561,16,23,-7,False,True,0.5,7.5,2017
2017_12_JAX_ARI,Q1,home,ARI,JAX,-6.5,3.0,0.0,3.0,0.7080248594284058,-242.49491173882777,0.46012890338897705,117.33040298810236,27,24,3,True,True,9.5,6.5,2017
2017_13_DEN_MIA,Q1,home,MIA,DEN,-1.0,2.0,0.0,2.0,0.42019951343536377,137.9821889426873,0.3373212218284607,196.4533315097898,35,9,26,True,True,27.0,1.0,2017
2017_13_HOU_TEN,Q1,away,HOU,TEN,7.0,3.0,0.0,3.0,0.4694330096244812,113.02294033390221,0.322873055934906,209.71924774100958,13,24,-11,False,False,-4.0,7.0,2017
2017_13_PHI_SEA,Q1,home,SEA,PHI,-3.5,10.0,0.0,10.0,0.7811290621757507,-356.89026142108827,0.6260749101638794,-167.4332445673191,24,10,14,True,True,17.5,3.5,2017
2017_13_PIT_CIN,Q1,home,CIN,PIT,-4.5,10.0,0.0,10.0,0.7990370988845825,-397.60428141195956,0.616226315498352,-160.57023719553808,20,23,-3,False,True,1.5,4.5,2017
2017_13_TB_GB,Q1,away,TB,GB,3.0,7.0,3.0,4.0,0.581161379814148,-138.7554422646766,0.5557966828346252,-125.12213694876682,20,26,-6,False,False,-3.0,3.0,2017
2017_14_NE_MIA,Q1,home,MIA,NE,-10.0,6.0,0.0,6.0,0.6792251467704773,-211.7451352349226,0.3450073301792145,189.8489140739557,27,20,7,True,True,17.0,10.0,2017
2017_14_NYJ_DEN,Q1,home,DEN,NYJ,-1.0,10.0,0.0,10.0,0.8275545835494995,-479.89363856884216,0.7562504410743713,-310.25715263144895,23,0,23,True,True,24.0,1.0,2017
2017_15_DEN_IND,Q1,home,IND,DEN,-3.0,7.0,0.0,7.0,0.8265236020088196,-476.44729287660226,0.6773393750190735,-209.92315844522807,13,25,-12,False,False,-9.0,3.0,2017
2017_15_PHI_NYG,Q1,home,NYG,PHI,-7.5,13.0,7.0,6.0,0.7050923705101013,-239.08922659264482,0.4109712839126587,143.32600333519267,29,34,-5,False,True,2.5,7.5,2017
2017_16_BUF_NE,Q1,away,BUF,NE,11.0,3.0,0.0,3.0,0.4226311445236206,136.61294558099246,0.22505122423171997,344.3432838074091,16,37,-21,False,False,-10.0,11.0,2017
2017_16_DEN_WAS,Q1,away,DEN,WAS,3.0,3.0,0.0,3.0,0.5079909563064575,-103.24829651360427,0.5103480219841003,-104.22668444066383,11,27,-16,False,False,-13.0,3.0,2017
2017_16_JAX_SF,Q1,home,SF,JAX,-4.0,10.0,0.0,10.0,0.8107500672340393,-428.4017729277969,0.6549693942070007,-189.8293609929633,44,33,11,True,True,15.0,4.0,2017
2017_17_ARI_SEA,Q1,away,ARI,SEA,8.0,10.0,7.0,3.0,0.6221390962600708,-164.64764946634205,0.41689813137054443,139.86675035278273,26,24,2,True,True,10.0,8.0,2017
2017_17_CIN_BAL,Q1,away,CIN,BAL,8.0,7.0,0.0,7.0,0.6187704205513,-162.30913179562572,0.4041239023208618,147.44886265253152,31,27,4,True,True,12.0,8.0,2017
2017_17_HOU_IND,Q1,away,HOU,IND,5.5,3.0,0.0,3.0,0.4161439538002014,140.3014607969335,0.3123575448989868,220.14594055136067,13,22,-9,False,False,-3.5,5.5,2017
2017_17_KC_DEN,Q1,away,KC,DEN,3.0,7.0,3.0,4.0,0.5480580925941467,-121.26737609707416,0.5150226354598999,-106.19519035662448,27,24,3,True,True,6.0,3.0,2017
2017_17_WAS_NYG,Q1,home,NYG,WAS,-5.0,15.0,7.0,8.0,0.7778241038322449,-350.0938298207401,0.5334059000015259,-114.31904089727458,18,10,8,True,True,13.0,5.0,2017
2017_01_BAL_CIN,H1,away,BAL,CIN,2.5,17.0,0.0,17.0,0.9162692427635193,-1094.3042592767922,0.8838486075401306,-760.9453393729245,20,0,20,True,True,22.5,2.5,2017
2017_01_JAX_HOU,H1,away,JAX,HOU,5.5,19.0,0.0,19.0,0.9040041565895081,-941.7117705022467,0.8352611660957336,-507.02141462353904,29,7,22,True,True,27.5,5.5,2017
2017_01_OAK_TEN,H1,away,LV,TEN,2.5,13.0,10.0,3.0,0.5506046414375305,-122.52121232377885,0.5523067712783813,-123.36723806511104,26,16,10,True,True,12.5,2.5,2017
2017_01_SEA_GB,H1,away,SEA,GB,2.5,3.0,0.0,3.0,0.5506046414375305,-122.52121232377885,0.5523067712783813,-123.36723806511104,9,17,-8,False,False,-5.5,2.5,2017
2017_02_ARI_IND,H1,home,IND,ARI,-7.0,10.0,3.0,7.0,0.7868565320968628,-369.1675564059269,0.606988251209259,-154.44531952973492,13,16,-3,False,True,4.0,7.0,2017
2017_02_DAL_DEN,H1,home,DEN,DAL,-2.5,21.0,10.0,11.0,0.8782480359077454,-721.3419861073238,0.8009990453720093,-402.5101522097642,42,17,25,True,True,27.5,2.5,2017
2017_02_DET_NYG,H1,away,DET,NYG,3.0,17.0,7.0,10.0,0.773473858833313,-341.450154427943,0.7538536638021469,-306.26239473911863,24,10,14,True,True,17.0,3.0,2017
2017_02_HOU_CIN,H1,away,HOU,CIN,5.5,10.0,6.0,4.0,0.6024054288864136,-151.51248851290677,0.4815226197242737,107.67456377700665,13,9,4,True,True,9.5,5.5,2017
2017_02_WAS_LA,H1,away,WAS,LA,3.0,20.0,10.0,10.0,0.8049947023391724,-412.8065811521173,0.7635661363601685,-322.9512577450991,27,20,7,True,True,10.0,3.0,2017
2017_03_BAL_JAX,H1,home,JAX,BAL,-3.0,23.0,0.0,23.0,0.9745413064956665,-3827.9313364206346,0.9772233366966248,-4290.458719437677,44,7,37,True,True,40.0,3.0,2017
2017_03_CIN_GB,H1,away,CIN,GB,7.0,21.0,7.0,14.0,0.8602129220962524,-615.3737062080693,0.7514871805906296,-302.39372857169155,24,27,-3,False,True,4.0,7.0,2017
2017_03_MIA_NYJ,H1,home,NYJ,MIA,-5.5,10.0,0.0,10.0,0.817753255367279,-448.706646044781,0.6768661737442017,-209.46930303990604,20,6,14,True,True,19.5,5.5,2017
2017_03_NO_CAR,H1,away,NO,CAR,5.5,17.0,6.0,11.0,0.8531333804130554,-580.889914136005,0.7436628937721252,-290.1112931777559,34,13,21,True,True,26.5,5.5,2017
2017_03_OAK_WAS,H1,home,WAS,LV,-3.5,14.0,0.0,14.0,0.9166976809501648,-1100.4467719581191,0.8393943905830383,-522.6432586198258,27,10,17,True,True,20.5,3.5,2017
2017_03_PIT_CHI,H1,home,CHI,PIT,-7.0,17.0,7.0,10.0,0.8532896637916565,-581.6152330125526,0.6870520710945129,-219.54197731789702,23,17,6,True,True,13.0,7.0,2017
