path,cases,su_wins,su_win_rate,break_even_ml,covers,cover_rate_pregame_spread,avg_final_margin,median_q3_wp,sample_flag
Q1_LOST__Q2_LOST__Q3_LOST,820,67,0.08170731707317073,1123.8805970149253,177,0.21585365853658536,-14.432926829268293,0.06759416311979294,OK
Q1_WIN__Q2_WIN__Q3_WIN,399,318,0.7969924812030075,-392.5925925925925,371,0.9298245614035088,8.691729323308271,0.8611776828765869,OK
Q1_TIE__Q2_LOST__Q3_LOST,234,24,0.10256410256410256,875.0000000000001,72,0.3076923076923077,-11.02991452991453,0.1256454735994339,OK
Q1_WIN__Q2_LOST__Q3_LOST,164,17,0.10365853658536585,864.7058823529413,44,0.2682926829268293,-10.768292682926829,0.12062230706214905,OK
Q1_TIE__Q2_WIN__Q3_WIN,121,83,0.6859504132231405,-218.42105263157902,103,0.8512396694214877,6.206611570247934,0.8175588846206665,OK
Q1_LOST__Q2_WIN__Q3_WIN,117,78,0.6666666666666666,-199.99999999999994,100,0.8547008547008547,5.034188034188034,0.79936283826828,OK
Q1_WIN__Q2_WIN__Q3_LOST,76,15,0.19736842105263158,406.66666666666663,40,0.5263157894736842,-5.092105263157895,0.27009838819503784,OK
Q1_LOST__Q2_LOST__Q3_WIN,50,28,0.56,-127.27272727272731,42,0.84,1.28,0.6882584691047668,OK
Q1_TIE__Q2_WIN__Q3_LOST,43,7,0.16279069767441862,514.2857142857142,14,0.32558139534883723,-6.813953488372093,0.23362886905670166,OK
Q1_LOST__Q2_WIN__Q3_LOST,33,9,0.2727272727272727,266.6666666666667,13,0.3939393939393939,-6.96969696969697,0.28659510612487793,OK
Q1_TIE__Q2_TIE__Q3_LOST,31,9,0.2903225806451613,244.44444444444443,18,0.5806451612903226,-6.67741935483871,0.21606607735157013,OK
Q1_TIE__Q2_LOST__Q3_WIN,28,21,0.75,-300.0,26,0.9285714285714286,4.178571428571429,0.6868740022182465,SAMPLE_TOO_SMALL
Q1_LOST__Q2_LOST__Q3_TIE,27,9,0.3333333333333333,200.00000000000003,20,0.7407407407407407,-1.6666666666666667,0.4435972571372986,SAMPLE_TOO_SMALL
Q1_WIN__Q2_WIN__Q3_TIE,26,10,0.38461538461538464,160.0,17,0.6538461538461539,-0.8076923076923077,0.5288131535053253,SAMPLE_TOO_SMALL
Q1_WIN__Q2_LOST__Q3_WIN,25,11,0.44,127.2727272727273,20,0.8,0.52,0.6644352674484253,SAMPLE_TOO_SMALL
Q1_LOST__Q2_TIE__Q3_LOST,24,6,0.25,300.0,10,0.4166666666666667,-7.416666666666667,0.1961939036846161,SAMPLE_TOO_SMALL
Q1_LOST__Q2_TIE__Q3_WIN,23,18,0.782608695652174,-360.00000000000006,20,0.8695652173913043,5.260869565217392,0.7863541841506958,SAMPLE_TOO_SMALL
Q1_TIE__Q2_TIE__Q3_WIN,21,14,0.6666666666666666,-199.99999999999994,18,0.8571428571428571,3.857142857142857,0.7160329222679138,SAMPLE_TOO_SMALL
Q1_WIN__Q2_TIE__Q3_LOST,20,3,0.15,566.6666666666667,8,0.4,-8.2,0.24322092533111572,SAMPLE_TOO_SMALL
Q1_WIN__Q2_TIE__Q3_WIN,18,13,0.7222222222222222,-259.99999999999994,16,0.8888888888888888,3.388888888888889,0.6750471591949463,SAMPLE_TOO_SMALL
Q1_TIE__Q2_TIE__Q3_TIE,15,3,0.2,400.0,6,0.4,-3.3333333333333335,0.4937697649002075,SAMPLE_TOO_SMALL
Q1_TIE__Q2_LOST__Q3_TIE,14,4,0.2857142857142857,250.00000000000003,8,0.5714285714285714,-3.357142857142857,0.4776284694671631,SAMPLE_TOO_SMALL
Q1_WIN__Q2_TIE__Q3_TIE,13,8,0.6153846153846154,-160.00000000000003,11,0.8461538461538461,0.15384615384615385,0.5183559060096741,SAMPLE_TOO_SMALL
Q1_LOST__Q2_TIE__Q3_TIE,12,2,0.16666666666666666,500.00000000000006,5,0.4166666666666667,-5.666666666666667,0.5322819352149963,SAMPLE_TOO_SMALL
Q1_TIE__Q2_WIN__Q3_TIE,11,4,0.36363636363636365,175.0,5,0.45454545454545453,-1.0909090909090908,0.5263271927833557,SAMPLE_TOO_SMALL
Q1_WIN__Q2_LOST__Q3_TIE,9,2,0.2222222222222222,350.00000000000006,5,0.5555555555555556,-2.4444444444444446,0.43461209535598755,SAMPLE_TOO_SMALL
Q1_LOST__Q2_WIN__Q3_TIE,6,3,0.5,-100.0,4,0.6666666666666666,0.3333333333333333,0.46114015579223633,SAMPLE_TOO_SMALL
