path,cases,su_wins,su_win_rate,break_even_ml,covers,cover_rate_pregame_spread,avg_final_margin,median_q3_wp,sample_flag
Q1_LOST__Q2_LOST__Q3_LOST,1014,90,0.08875739644970414,1026.6666666666667,218,0.21499013806706113,-14.200197238658777,0.07004311308264732,OK
Q1_WIN__Q2_WIN__Q3_WIN,501,404,0.8063872255489022,-416.49484536082474,463,0.9241516966067864,8.72055888223553,0.8669353723526001,OK
Q1_TIE__Q2_LOST__Q3_LOST,286,30,0.1048951048951049,853.3333333333333,89,0.3111888111888112,-10.954545454545455,0.12718817591667175,OK
Q1_WIN__Q2_LOST__Q3_LOST,190,21,0.11052631578947368,804.7619047619048,51,0.26842105263157895,-10.778947368421052,0.12062230706214905,OK
Q1_TIE__Q2_WIN__Q3_WIN,147,99,0.673469387755102,-206.24999999999997,125,0.8503401360544217,5.9727891156462585,0.8290008306503296,OK
Q1_LOST__Q2_WIN__Q3_WIN,139,95,0.6834532374100719,-215.90909090909088,118,0.8489208633093526,4.9496402877697845,0.8009273409843445,OK
Q1_WIN__Q2_WIN__Q3_LOST,91,20,0.21978021978021978,355.00000000000006,49,0.5384615384615384,-4.593406593406593,0.27326440811157227,OK
Q1_LOST__Q2_LOST__Q3_WIN,66,38,0.5757575757575758,-135.71428571428572,56,0.8484848484848485,1.393939393939394,0.684978723526001,OK
Q1_TIE__Q2_WIN__Q3_LOST,55,8,0.14545454545454545,587.5,19,0.34545454545454546,-7.636363636363637,0.23224502801895142,OK
Q1_LOST__Q2_WIN__Q3_LOST,42,11,0.2619047619047619,281.8181818181818,18,0.42857142857142855,-6.166666666666667,0.2889517843723297,OK
Q1_WIN__Q2_WIN__Q3_TIE,35,17,0.4857142857142857,105.88235294117646,26,0.7428571428571429,0.2571428571428571,0.5185326933860779,OK
Q1_TIE__Q2_TIE__Q3_LOST,32,9,0.28125,255.55555555555554,18,0.5625,-6.84375,0.21693125367164612,OK
Q1_TIE__Q2_LOST__Q3_WIN,31,22,0.7096774193548387,-244.44444444444449,28,0.9032258064516129,3.6774193548387095,0.678762674331665,OK
Q1_LOST__Q2_TIE__Q3_LOST,31,6,0.1935483870967742,416.66666666666663,13,0.41935483870967744,-7.612903225806452,0.19997715950012207,OK
Q1_LOST__Q2_TIE__Q3_WIN,29,21,0.7241379310344828,-262.5,23,0.7931034482758621,3.793103448275862,0.786279022693634,SAMPLE_TOO_SMALL
Q1_WIN__Q2_LOST__Q3_WIN,28,13,0.4642857142857143,115.38461538461537,23,0.8214285714285714,0.5714285714285714,0.6333086490631104,SAMPLE_TOO_SMALL
Q1_LOST__Q2_LOST__Q3_TIE,27,9,0.3333333333333333,200.00000000000003,20,0.7407407407407407,-1.6666666666666667,0.4435972571372986,SAMPLE_TOO_SMALL
Q1_WIN__Q2_TIE__Q3_LOST,25,4,0.16,525.0,11,0.44,-7.48,0.2565798759460449,SAMPLE_TOO_SMALL
Q1_TIE__Q2_TIE__Q3_WIN,24,17,0.7083333333333334,-242.85714285714292,21,0.875,3.9583333333333335,0.7771738767623901,SAMPLE_TOO_SMALL
Q1_WIN__Q2_TIE__Q3_WIN,22,13,0.5909090909090909,-144.44444444444446,16,0.7272727272727273,1.7272727272727273,0.6750471591949463,SAMPLE_TOO_SMALL
Q1_TIE__Q2_TIE__Q3_TIE,19,6,0.3157894736842105,216.66666666666669,9,0.47368421052631576,-1.9473684210526316,0.4772269129753113,SAMPLE_TOO_SMALL
Q1_TIE__Q2_LOST__Q3_TIE,19,4,0.21052631578947367,375.0,9,0.47368421052631576,-4.052631578947368,0.4770250916481018,SAMPLE_TOO_SMALL
Q1_WIN__Q2_TIE__Q3_TIE,16,8,0.5,-100.0,11,0.6875,-1.125,0.5200620293617249,SAMPLE_TOO_SMALL
Q1_TIE__Q2_WIN__Q3_TIE,12,4,0.3333333333333333,200.00000000000003,6,0.5,-1.1666666666666667,0.5198571383953094,SAMPLE_TOO_SMALL
Q1_LOST__Q2_TIE__Q3_TIE,12,2,0.16666666666666666,500.00000000000006,5,0.4166666666666667,-5.666666666666667,0.5322819352149963,SAMPLE_TOO_SMALL
Q1_WIN__Q2_LOST__Q3_TIE,11,3,0.2727272727272727,266.6666666666667,7,0.6363636363636364,-2.0,0.4156618118286133,SAMPLE_TOO_SMALL
Q1_LOST__Q2_WIN__Q3_TIE,9,3,0.3333333333333333,200.00000000000003,4,0.4444444444444444,-1.4444444444444444,0.49979057908058167,SAMPLE_TOO_SMALL
